title,imdbRating,ratingCount,duration,nrOfWins,nrOfNominations,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
The Phantom of Paris (1931),7.6,972,4440,0,0,0,10,2
Manhattan (1979),8,83078,5760,19,14,35,216,3
Anatomie eines Mordes (1959),8.1,35135,9600,9,11,129,176,3
The Bachelor Father (1931),7.8,818,5400,0,0,0,10,3
Eiskalt in Alexandrien (1958),7.9,2984,7740,1,1,25,48,2
Destroyer (1943),6.7,704,5940,0,0,0,15,3
Agenten sterben einsam (1968),7.7,32785,9480,1,2,142,212,3
African Queen (1951),8,50111,6300,4,6,152,189,3
Master & Commander - Bis ans Ende der Welt (2003),7.4,140094,8280,22,57,312,671,3
Die Verdammten des Krieges (1989),7,27348,6780,3,1,46,116,3
Gallipoli (1981),7.6,24493,6600,11,5,86,108,3
Die vier Federn (2002),6.5,24173,7920,0,0,101,210,3
Colonel von Ryans Expreß (1965),7.1,8141,7020,2,1,6,63,3
Parks and Recreation Eagleton (TV Episode 2011),8.3,308,1260,0,0,0,0,1
Die Fälscher (2007),7.6,30580,5880,6,9,151,116,3
Der Stellvertreter (2002),7.3,8712,7920,4,8,5,49,3
Die 120 Tage von Sodom (1975),6,28383,6960,0,0,26,343,2
Die Jungfrauenquelle (1960),8.1,14749,5340,4,2,15,72,1
Wie klaut man eine Million? (1966),7.6,11667,7380,0,0,30,81,3
... A Father... A Son... Once Upon a Time in Hollywood (TV Movie 2005),7.7,74,5700,0,0,0,1,1
Angst und Schrecken in Las Vegas (1998),7.8,172021,7080,1,1,667,624,1
Akira Kurosawa's Träume (1990),7.8,15270,7140,3,8,55,107,2
The Tree of Life (2011),6.7,108560,8340,61,50,3908,932,2
Interview mit einem Vampir - Aus der Chronik der Vampire (1994),7.6,193094,7380,19,18,606,383,2
Tod in Venedig (1971),7.6,11098,7800,18,6,61,100,1
Das Blut eines Dichters (1932),7.5,3222,3300,1,0,10,28,0
Die Handschrift von Saragossa (1965),8,2779,10920,1,0,0,34,3
Fellinis Satyricon (1969),6.9,9720,7680,7,6,5,88,2
Hereafter - Das Leben danach (2010),6.5,69425,7740,4,11,1173,310,2
Von Angesicht zu Angesicht (1976),7.7,2450,6840,8,2,21,18,2
Mission Hill Plan 9 from Mission Hill (or I Married a Gay Man from Outer Space) (TV Episode 2002),7.4,42,1800,0,0,0,0,3
Das Schweigen (1963),8,9325,5760,3,1,15,38,1
Herbstsonate (1978),8.2,11098,5940,13,2,40,54,2
Schande (1968),7.9,6196,6180,10,0,24,46,1
