title,imdbRating,ratingCount,duration,nrOfWins,nrOfNominations,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
Licht im Winter (1963),8,10304,4860,1,0,0,54,1
Paris\,http://www.imdb.com/title/tt0087884/,8.1,34465,video.movie,16,22,0,149
Opfer (1986),8.1,10180,8520,8,1,3,56,1
Die Nacht (1961),7.9,8066,6900,6,1,42,35,1
Harakiri (1962),8.6,13453,7980,8,2,47,140,3
Die Reise nach Tokio (1953),8.3,18631,8160,2,0,169,100,1
Der Konformist (1970),8.1,12653,6660,11,2,81,84,1
Belle de Jour - Schöne des Tages (1967),7.8,22439,6060,5,0,81,97,1
Big Fish - Der Zauber\,http://www.imdb.com/title/tt0319061/,8,295910,video.movie,0,73,500,783
Zwielicht (1996),7.7,99269,7740,10,6,133,220,3
Gone Baby gone - Kein Kinderspiel (2007),7.7,148683,6840,23,12,1266,427,3
Der Name der Rose (1986),7.8,66690,7800,13,5,76,140,3
Eine Frage der Ehre (1992),7.6,145459,8280,9,15,412,299,3
Verblendung (2009),7.8,139396,9120,12,22,2708,282,3
Following (1998),7.6,48309,4140,5,4,577,144,3
Michael Clayton (2007),7.3,113526,7140,19,60,798,352,3
Insomnia - Schlaflos (2002),7.2,169766,7080,1,8,403,620,3
Mississippi Burning - Die Wurzel des Hasses (1988),7.8,52664,7680,18,19,90,157,3
Exit (1985),6.6,14,960,1,4,0,0,2
Remington Steele In the Steele of the Night (TV Episode 1982),7.9,49,3600,0,0,0,0,3
Zelle R 17 (1947),7.7,4746,5880,0,0,18,55,3
Nachts unterwegs (1940),7.3,4437,5700,0,0,5,56,3
Mrs. Doubtfire - Das stachelige Kindermädchen (1993),6.8,124836,7500,9,6,363,204,2
Lili Marlene (2007),,,2400,0,0,0,0,3
Lola rennt (1998),7.8,138695,4860,28,15,492,691,3
True Romance (1993),8,130834,7200,1,6,921,424,2
La leggenda di Al\,http://www.imdb.com/title/tt0345561/,6.1,1520,video.movie,0,0,0,9
Die zehn Gebote (1956),7.9,37792,13200,5,7,281,207,3
Meuterei auf der Bounty (1962),7.2,9363,10680,2,6,30,79,3
Hatari (1962),7.3,7219,9420,1,0,0,71,3
Der Mann in der eisernen Maske (1998),6.4,95874,7920,3,2,70,232,2
Monte Cristo (2002),7.7,85719,7860,0,0,247,528,3
Spartacus (1960),8,81588,11820,6,9,415,256,3
Die vier Halunken der Königin (1974),7.1,6591,6480,1,1,33,25,3
Agora - Die Säulen des Himmels (2009),7.2,40671,7620,9,12,235,163,3
Zulu (1964),7.8,24152,8280,0,0,58,224,3
Tora! Tora! Tora! (1970),7.5,20804,8640,1,7,3,146,3
Tristan + Isolde (2006),6.9,39614,7500,0,0,53,310,2
Erpressung (1929),7.1,5938,5100,0,0,58,74,2
Tombstone (1993),7.9,75804,7800,0,0,294,423,3
Blutmond (1986),7.2,39679,7140,1,1,343,422,3
Magic Christian (1969),6.2,2149,5520,0,0,14,80,1
Der Mann\,http://www.imdb.com/title/tt0049470/,7.5,32447,video.movie,1,70,170,181
Lucky Number Slevin (2006),7.8,215991,6600,4,3,279,492,3
Die drei Tage des Condor (1975),7.5,27026,7020,5,3,219,138,3
The Illusionist - Nichts ist wie es scheint (2006),7.6,225695,6600,6,8,587,624,3
Der ewige Gärtner (2005),7.5,92479,7740,23,45,617,557,3
Beruf: Reporter (1975),7.7,11940,7560,4,1,62,100,1
Schatten der Vergangenheit (1991),7,19121,6420,1,4,48,103,2
Children of Men (2006),7.9,294420,6540,28,29,1636,1154,3
Sehnsüchtig (2004),7,37733,6840,0,0,85,284,3
Öffne die Augen (1997),7.8,43591,7020,5,11,156,210,3
So finster die Nacht (2008),8,143919,6900,63,23,2484,469,2
Jung und unschuldig (1937),7.1,5332,4800,0,0,13,76,3
Roter Drache (2002),7.2,164519,7440,6,7,655,736,2
Deckname Sweeny (1977),6.8,485,5340,1,0,0,15,3
Die Vergessenen (1950),8.1,10710,5100,12,4,17,136,2
Der Kameramann (1928),8.3,5912,4140,1,0,11,44,3
Topas (1969),6.3,10380,8580,3,1,49,79,1
Rocco und seine Brüder (1960),8.3,8889,10620,9,7,37,38,3
Ein Prophet (2009),7.9,63032,9300,32,31,831,139,2
Die Außenseiterbande (1964),7.9,12586,5700,0,0,95,54,2
Zum Beispiel Balthasar (1966),7.9,8524,5700,4,0,47,63,1
Hexenkessel (1973),7.5,54260,6720,5,2,402,208,2
Die neun Königinnen (2000),7.9,27621,6840,22,8,29,120,3
Yihe yuan (2006),7,1615,9480,0,0,68,26,2
Midnight in Paris (2011),7.7,221572,5640,18,52,3729,460,3
Eins\,eins zwei drei,http://www.imdb.com/title/tt0055256/,8,1961,video.movie,5,28,0
Silver Linings (2012),7.9,354393,7320,62,78,6070,620,3
Blue Jasmine (2013),7.4,74652,5880,26,35,2322,286,2
Frühling für Hitler (1967),7.7,32666,5280,2,5,194,230,2
Der Partyschreck (1968),7.6,24528,5940,0,0,38,150,1
Die wunderbare Welt der Schwerkraft (1971),7.6,18523,5280,0,0,55,77,1
Monty Python Live at the Hollywood Bowl (1982),7.9,9838,4620,0,0,0,22,2
Sterben für Anfänger (2007),7.4,74812,5400,2,0,455,190,1
Best in Show (2000),7.5,39785,5400,13,10,566,332,1
Mein Onkel (1958),7.9,10560,7020,6,2,52,54,1
Ronde de nuit (1984),4.5,83,5700,0,0,0,1,3
Good Bye Lenin! (2003),7.8,91044,7260,32,14,33,220,3
Harry und Sally (1989),7.6,118446,5760,4,14,855,245,3
Adventures in the Sin Bin (2012),5.4,267,,1,0,29,5,1
Amarcord (1973),8,23480,7380,16,8,73,96,2
Die Müßiggänger (1953),8,7941,6000,4,1,15,49,2
Fellinis Roma (1972),7.4,7030,7680,4,1,28,46,2
The Affairs of Anatol (1921),8.1,999,7020,0,0,2,18,2
Die Frauen (1939),8.1,8218,7980,1,0,60,131,2
Stardust Memories (1980),7.5,12779,5340,0,0,76,98,2
Das Gespenst der Freiheit (1974),8,7980,6180,2,0,4,309,2
Stranger Than Paradise (1984),7.6,19517,5340,7,2,72,90,2
Night on Earth (1991),7.8,30604,7740,1,0,21,87,2
...mit deiner Mutter auch! (2001),7.7,75928,6360,39,30,185,377,1
Polly of the Circus (1932),7.6,755,4140,0,0,0,10,2
Geheimnis der Mutter (1948),8.4,3300,8040,1,3,11,57,2
Die Sopranos Marco Polo (TV Episode 2004),8.7,835,3480,0,0,0,2,2
Lost Highway (1997),7.7,76443,8040,0,0,238,433,3
Audition (1999),7.3,44241,6900,3,2,275,390,2
Janghwa\,http://www.imdb.com/title/tt0365376/,7.3,34097,video.movie,11,5,208,221
Christine (1983),6.6,38714,6600,0,0,217,201,3
Twin Peaks - Der Film (1992),7.2,39735,8100,3,6,89,214,2
Schatten der Wahrheit (2000),6.6,83684,7800,4,5,197,669,3
Böse Saat (1956),7.5,7602,7740,1,1,90,151,3
Dark Shadows (2012),6.3,147014,6780,2,9,3512,460,2
Santa sangre (1989),7.7,10273,7380,1,8,98,81,1
The Mothman Prophecies - Tödliche Visionen (2002),6.5,54115,7140,3,0,124,441,3
Friends The One with the Yeti (TV Episode 1998),8.1,701,1320,0,0,0,3,2
Speedway (1929),7.7,496,4560,0,0,0,4,3
Blut und Sand (1922),7.4,863,4800,0,0,2,15,3
Aus Liebe zum Spiel (1999),6.5,22056,8220,0,0,33,218,3
Sommer und Rauch (1961),8,1192,7080,5,5,20,22,2
Mädchenlos (1920),8.1,3134,8700,0,0,6,43,2
Der Scheich (1921),7.4,2103,4800,0,0,17,20,3
Die Farbe des Geldes (1986),7,46480,7140,4,6,185,109,2
Es war (1926),8.1,2775,6720,1,0,22,30,2
Pflicht und Liebe (1928),7.5,726,5100,0,0,0,10,2
Der Glanz des Hauses Amberson (1942),8,14021,5280,2,0,108,95,2
Traum meines Lebens (1955),7.6,4793,6000,3,2,22,64,2
Fame The Deal (TV Episode 1984),,,2820,0,0,0,0,3
Wer den Wind sät (1960),8.2,16683,7680,3,7,71,150,2
Der Löwe im Winter (1968),8.2,19622,8040,14,16,218,158,2
Frost/Nixon (2008),7.8,76863,7320,16,48,83,234,2
Good Night\,http://www.imdb.com/title/tt0433383/,7.6,74242,video.movie,43,36,107,511
Quiz Show - Der Skandal (1994),7.5,45526,7980,13,13,194,150,2
Julius Caesar (1953),7.4,6174,7200,6,6,71,65,2
Hexenjagd (1996),6.9,24089,7440,7,11,73,113,2
Lüge und Wahrheit - Shattered Glass (2003),7.3,25616,5640,12,18,298,178,2
Meuterei auf der Bounty (1935),7.9,13024,7920,2,7,78,84,3
Biography Milton Berle: Mr. Television (TV Episode),,,3600,0,0,0,0,3
Die Nacht vor der Hochzeit (1940),8.1,42335,6720,3,4,119,174,2
City Wolf (1986),7.6,13265,5700,4,12,77,84,3
Flucht von Alcatraz (1979),7.6,66636,6720,0,0,64,130,3
Der Mann mit der Todeskralle (1973),7.7,64271,6120,1,0,280,231,3
Sonatine (1993),7.6,10791,5640,4,1,42,76,3
Blast Killer (1989),8,33042,6660,2,5,167,215,3
El mariachi (1992),7,41910,4860,6,4,98,125,3
Sono otoko\,http://www.imdb.com/title/tt0098360/,7.2,6731,video.movie,3,9,19,41
Komm' zurück\,http://www.imdb.com/title/tt0083745/,7.7,2415,video.movie,2,4,0,45
Leoparden küßt man nicht (1938),8.1,37527,5640,1,0,123,224,2
Lat sau san taam (1992),8,32570,7680,2,3,201,250,3
A History of Violence (2005),7.5,154987,5760,35,34,919,1100,3
Mann unter Feuer (2004),7.8,205401,8760,1,6,530,664,3
Lebenskünstler (1938),8,14508,7560,1,5,27,122,2
Smashing UK Top 10 Top 10 Film Directors (TV Episode 2013),,,600,0,0,0,0,2
Sieben Jahre in Tibet (1997),7,75229,8160,3,6,104,110,3
Lincoln (2012),7.5,146016,9000,63,115,74,638,3
Kundun (1997),7.1,18709,8040,5,4,83,114,3
Sergeant York (1941),7.8,10521,8040,3,9,18,84,3
Das Tagebuch der Anne Frank (1959),7.5,8064,9120,6,11,90,47,3
Andrej Rubljow (1966),8.3,18272,12300,3,0,28,97,3
Heinrich V. (1944),7.4,3834,8220,10,0,16,44,3
Che: Part One (2008),7.2,32227,8040,3,9,69,70,3
Entführt - Die Abenteuer des David Balfour (1960),6.7,700,5820,0,0,11,11,3
Bankraub des Jahrhunderts (1960),6.6,513,5100,0,0,7,8,2
Who Wants to Be a Millionaire Episode #7.102 (TV Episode 2009),,,1800,0,0,0,0,1
Brick (2005),7.5,71942,6600,10,14,1042,398,2
Paranoid Park (2007),6.7,22245,5100,5,4,133,101,3
Clockers (1995),6.9,14368,7680,1,4,103,77,3
Karakter (1997),7.8,8256,7320,14,5,4,65,3
Die Totenliste (1963),7,2832,5880,0,0,12,45,3
Tonight or Never (1931),8.1,1053,4800,0,0,0,8,2
Kap der Angst (1991),7.3,102119,7680,6,11,488,246,1
Brand Upon the Brain! A Remembrance in 12 Chapters (2006),7.4,2401,5700,0,0,0,28,2
The Red Mill (1927),8.3,984,4440,0,0,0,14,2
Ever Since Eve (1937),8,994,4800,0,0,0,13,2
Willkommen\,http://www.imdb.com/title/tt0078841/,8.1,42469,video.movie,15,22,174,259
Thank You for Smoking (2005),7.7,166413,5520,10,18,500,312,2
Rushmore (1998),7.8,103560,5580,14,11,694,623,2
Die Royal Tenenbaums (2001),7.6,159811,6600,11,29,714,946,2
50/50 - Freunde fürs (Über)leben (2011),7.8,207726,6000,9,9,181,362,2
The Descendants - Familie und andere Angelegenheiten (2011),7.4,164099,6900,51,82,4376,403,2
Der Tintenfisch und der Wal (2005),7.4,50816,4860,19,27,469,212,2
Station Agent (2003),7.8,45086,5340,25,21,391,263,2
The Killing of John Lennon (2006),6.3,1190,6840,1,1,5,27,2
Centurion (2010),6.4,51500,5820,0,0,823,176,3
Unbeugsam (2008),7.2,92625,8220,2,2,615,214,3
Duell im Atlantik (1957),7.7,5547,5880,4,1,4,80,3
Khartoum - Aufstand am Nil (1966),7,3814,8040,0,2,10,47,3
Last Samurai (2003),7.7,241462,9240,18,39,854,908,3
Der längste Tag (1962),7.8,35461,10680,6,6,117,181,3
Die Brücke von Arnheim (1977),7.4,32836,10500,4,4,40,191,3
Beverly Hills Vamp (1989),3,406,5280,0,0,0,5,2
The Wild Bunch - Sie kannten kein Gesetz (1969),8.1,53674,8700,5,3,447,278,1
Pale Rider - Der namenlose Reiter (1985),7.3,30357,6900,2,1,69,126,1
Die Rechnung wird mit Blei bezahlt (1967),7.2,3496,7200,0,0,17,59,1
Die gefürchteten Vier (1966),7.4,8102,7020,3,5,13,78,3
Blaze of Glory - Flammender Ruhm (1990),6.3,19593,6240,2,2,36,64,1
Die Gewaltigen (1967),6.8,4878,5760,1,0,4,33,1
Big Jake (1971),7.1,5861,6600,0,0,21,59,3
Sukiyaki Western Django (2007),6.3,11600,7260,5,4,152,69,2
Django - Sein Haß ist tödlich (1968),6.5,1180,5280,0,0,0,11,2
Gott vergibt ... Django nie! (1967),6.3,2097,6540,0,0,2,15,1
Guns for Hire: The Making of 'The Magnificent Seven' (TV Movie 2000),6.6,119,3600,0,0,0,4,1
Kagemusha - Der Schatten des Kriegers (1980),8,19187,10800,20,3,64,84,3
Barfuß durch die Hölle - 1. Teil (1959),8.4,2724,9420,5,1,0,16,3
Panzerkreuzer Potemkin (1925),8,32184,4500,0,0,163,160,2
Letters from Iwo Jima (2006),8,112624,8460,26,19,324,307,3
Killing Fields - Schreiendes Land (1984),7.9,35986,8460,26,20,216,176,3
Der Fall des Lieutnant Morant (1980),7.9,8920,6420,14,5,71,85,3
Die Blechtrommel (1979),7.6,14652,8520,14,5,72,73,2
Glory (1989),8,87681,7320,13,12,231,332,3
Nanjing! Nanjing! (2009),7.7,6879,7920,11,6,32,58,3
The Wind That Shakes the Barley (2006),7.6,30641,7620,5,22,160,211,3
Gettysburg (1993),7.7,19124,16260,0,0,59,244,3
Daddy-Long-Legs (1919),7.9,997,5100,0,0,0,18,2
Bloody Sunday (2002),7.7,16640,6420,19,21,188,117,3
Remembering History (Video 2005),7.4,18,4140,0,0,0,1,1
Sinola (1972),6.4,9369,5280,0,0,10,59,1
Winchester 73 (1950),7.8,10108,5520,0,0,8,77,1
Django (1966),7.3,14763,5520,0,0,310,83,1
Der Gehetzte der Sierra Madre (1966),7.4,2740,4800,0,0,29,26,1
Die vier Söhne der Katie Elder (1965),7.2,7797,7320,1,0,23,47,1
Zwei rechnen ab (1957),7.2,8155,7320,2,2,34,72,1
Der Tod ritt dienstags (1967),7.2,1615,5700,0,0,15,19,1
Töte Amigo (1966),7.2,2153,8100,0,0,16,24,1
Nackte Gewalt (1953),7.5,6200,5460,1,0,7,78,2
Sabata (1969),6.9,2482,6660,0,0,7,32,1
Bis zum letzten Mann (1948),7.7,9867,7500,2,1,61,71,1
The 80th Annual Academy Awards (2008),6.8,1067,11820,1,8,6,7,0
Edición Especial Coleccionista Phineas y Ferb: A traves de la 2ª Dimensión (TV Episode 2013),,,1140,0,0,0,0,2
Vera Cruz (1954),7.1,5465,5640,0,0,28,53,2
Von Angesicht zu Angesicht (1967),7.4,1377,6420,0,0,9,13,2
Keine Gnade für Ulzana (1972),7.1,2992,6180,0,0,9,52,2
Todesmelodie (1971),7.7,17791,9420,1,0,10,102,2
Die glorreichen Sieben (1960),7.8,51542,7680,2,2,442,226,1
Der mit dem Wolf tanzt (1990),8,143286,10860,34,28,817,351,3
Der Marshal (1969),7.4,26762,7680,7,5,1258,151,3
Der schwarze Falke (1956),8,50448,7140,1,2,234,408,1
El Dorado (1966),7.7,13415,7560,0,0,32,84,1
Panik am roten Fluß (1948),7.8,17040,5520,1,2,89,148,3
Weeds - Kleine Deals unter Nachbarn If You Work for a Living\,http://www.imdb.com/title/tt1137936/,8.4,314,video.episode,0,0,0,0
Wie in einem Spiegel (1961),8.1,11125,5340,2,4,66,56,1
Nostalghia (1983),8.2,8649,7500,3,1,22,45,1
Passion (1969),7.8,4360,6060,8,0,13,30,1
Endstation Sehnsucht (1951),8.1,64151,7320,13,14,556,215,1
Beyond the Rocks (1922),7.9,1818,4800,0,0,6,53,1
Die Katze auf dem heißen Blechdach (1958),8.1,27420,6480,3,8,7,134,1
Rendezvous nach Ladenschluß (1940),8.1,15932,5940,1,0,64,121,3
Elizabeth Taylor: A Tribute (TV Movie 2011),7,6,3600,0,0,0,2,1
Terminal (2004),7.3,219483,7680,3,2,244,573,2
American Gangster (2007),7.8,264349,9420,9,30,1108,440,3
Boyz n the Hood - Jungs im Viertel (1991),7.8,71979,6720,10,9,302,167,2
25 Stunden (2002),7.7,127674,8100,4,7,13,442,2
In den Straßen der Bronx (1993),7.8,78459,7260,1,2,86,176,2
The Man Who Wasn't There (2001),7.6,71870,6960,25,33,113,425,2
Die Simpsons Black Widower (TV Episode 1992),7.7,848,1800,0,0,0,0,3
Tootsie (1982),7.4,63675,6960,30,23,355,162,3
Krámpack (2000),7,4840,5460,12,9,8,31,3
Die erste Liebe (1996),7.9,14623,5400,4,3,68,150,3
American Graffiti (1973),7.5,52962,6600,8,6,392,222,2
(500) Days of Summer (2009),7.8,273980,5700,10,22,29,453,3
Besser geht's nicht (1997),7.8,189536,8340,31,30,440,449,3
Nachbarn Episode #1.4096 (TV Episode 2002),,,1320,0,0,0,0,1
2010 - Das Jahr\,http://www.imdb.com/title/tt0086837/,6.8,34397,video.movie,1,10,0,202
Solaris (1972),8.1,38487,10020,2,4,44,216,2
Planet der Affen (1968),8,110247,6720,5,0,151,363,3
Star Trek: Der Film (1979),6.3,49916,7920,2,15,217,372,3
Alarm im Weltall (1956),7.7,27324,5880,1,1,397,263,3
Moon (2009),8,186273,5820,21,20,2258,424,2
Die phantastische Reise (1966),6.9,10313,6000,3,5,213,75,3
Unheimliche Begegnung der dritten Art (1977),7.7,109524,8220,15,33,786,307,3
Cinemassacre's Monster Madness The Manitou (TV Episode 2010),7.3,6,300,0,0,0,0,1
Road to Perdition (2002),7.8,165165,7020,23,55,778,981,3
Three Burials - Die drei Begräbnisse des Melquiades Estrada (2005),7.5,29806,7260,4,8,104,193,3
The Proposition - Tödliches Angebot (2005),7.5,37321,6240,13,25,519,228,3
Ritt zum Ox-Bow (1943),8.1,13354,4500,4,0,34,114,3
Bring mir den Kopf von Alfredo Garcia (1974),7.6,10643,6720,0,0,36,109,3
Quigley der Australier (1990),6.8,12562,7140,2,1,20,95,3
Todeszug nach Yuma (2007),7.8,191143,7320,6,19,30,545,3
Bones - Die Knochenjägerin The Proof in the Pudding (TV Episode 2010),8.5,345,3600,0,0,0,1,3
Johnny Guitar - Gejagt\,johnny guitar gejagt geha t gef rchtet,http://www.imdb.com/title/tt0047136/,7.7,1954,video.movie,0,9,62
Der Kopfgeldjäger (TV Series 1958–1961),8.2,694,1800,0,0,13,12,1
Gunmen - Hetzjagd durch den Dschungel (1993),5.1,2280,5640,0,0,2,24,3
Easy Rider (1969),7.4,61351,5700,10,10,698,346,1
Tales from the Warner Bros. Lot - Geschichten vom Studiogelände (2013),6.8,21,6360,0,0,0,2,1
Carlito's Way (1993),7.9,132330,8640,1,2,114,263,2
Donnie Brasco (1997),7.8,178966,7620,5,9,355,219,3
Miller's Crossing (1990),7.9,85503,6900,5,2,111,279,3
Training Day (2001),7.7,232355,7320,16,15,1691,604,3
Jackie Brown (1997),7.5,185138,9240,7,12,832,422,3
The Town - Stadt ohne Gnade (2010),7.6,222924,7500,9,24,3726,391,3
Histoire(s) du cinéma: Toutes les histoires (Video 1988),7.4,552,3060,0,0,0,4,1
Dayereh-e zangi (2008),7.6,988,6600,0,0,0,1,2
Down by Law (1986),7.9,28011,6420,4,5,61,82,3
King of Comedy (1982),7.8,38288,6540,2,5,229,199,2
Adams Äpfel (2005),7.9,25367,5640,19,13,23,48,3
Adel verpflichtet (1949),8.2,21614,6360,4,1,105,114,2
Mystery Train (1989),7.5,14302,6600,1,8,72,52,3
Bad Santa (2003),7.2,88920,5460,1,8,805,464,2
No Panic - Gute Geiseln sind selten (1994),7,15840,5580,1,1,39,110,3
Gefährliche Freundin (1986),6.8,9633,6840,4,1,108,62,3
Der Frauenmörder von Paris (1947),8,8976,6600,5,0,24,69,3
Spun - Leben im Rausch (2002),6.8,28443,6060,0,0,54,197,3
Paper Moon (1973),8.2,18348,6120,7,9,239,107,3
Tricks (2003),7.3,89122,6960,0,0,139,325,3
Charade (1984),7.1,355,300,2,0,0,4,3
Tödliche Versprechen (2007),7.7,159004,6000,27,43,22,375,3
Doktor Schiwago (1965),8,46656,11820,18,10,204,242,3
Mystic River (2003),8,274771,8280,61,68,1037,902,3
Verdammt in alle Ewigkeit (1953),7.8,27276,7080,14,7,257,135,3
Ihr erster Mann (1940),7.8,5580,6480,0,0,29,77,3
Unterwegs nach Cold Mountain (2003),7.2,99891,9240,17,63,572,657,3
Chuck Chuck Versus the Colonel (TV Episode 2009),9.1,779,2580,0,0,0,1,3
Tommy Boy - Durch dick und dünn (1995),7,51739,5820,1,2,144,190,1
Eurotrip (2004),6.6,129893,5580,0,0,60,306,2
Crocodile Dundee - Ein Krokodil zum Küssen (1986),6.5,61829,5820,3,7,208,82,2
30 Minuten oder weniger (2011),6.2,64192,4980,0,0,9,110,3
Rat Race - Der nackte Wahnsinn (2001),6.4,81149,6720,0,0,87,493,2
Harold & Kumar Go to White Castle (2004),7.2,128821,5280,0,0,34,312,2
Immer Ärger mit Bernie (1989),6.3,31087,5820,0,0,90,87,1
Ein Präsident für alle Fälle (1996),6.4,10950,6060,0,0,46,67,2
OSS 117 - Er selbst ist sich genug (2009),6.9,7098,6060,0,0,44,21,3
Mrs. Miniver (1942),7.7,8904,8040,3,6,66,73,3
Road Trip (2000),6.5,107561,5580,2,9,506,297,2
Year One - Aller Anfang ist schwer (2009),4.9,64559,5820,0,0,1413,197,2
Alles unter Kontrolle - Keiner blickt durch (1968),6.9,2785,5280,0,0,0,34,2
Die vier Reiter der Apokalypse (1921),8,2241,9000,1,0,38,37,3
Mystery Science Theater 3000 Jungle Goddess (TV Episode 1990),7.7,80,5820,0,0,0,0,2
Krieg und Frieden (1956),6.8,5442,12480,6,8,201,42,3
Wenn die Kraniche ziehen (1957),8.1,7771,5820,4,0,11,55,3
Hiroshima\,http://www.imdb.com/title/tt0052893/,7.9,14310,video.movie,5,9,58,84
Die Ballade vom Soldaten (1959),7.9,5742,5280,5,3,5,44,3
Una giornata particolare (1977),8,4847,6600,11,2,0,28,1
Leben und Sterben des Colonel Blimp (1943),8.1,8179,9780,3,0,84,76,3
Der englische Patient (1996),7.4,110855,9720,47,39,754,439,3
Die Caine war ihr Schicksal (1954),8,17021,7440,2,3,37,142,2
Ein Jahr in der Hölle (1982),7.2,12904,6900,7,15,72,82,3
Peter Greenaway in Indianapolis (Video 1997),6.8,9,,0,0,0,0,1
The Home Court Dog Day Afternoon (TV Episode 1996),,,1800,0,0,0,0,1
Der weiße Hai 2 (1978),5.7,39506,6960,0,0,76,235,2
Misery (1990),7.8,103810,6420,3,6,399,285,1
Panic Room (2002),6.8,161649,6720,1,7,618,827,3
Ohne Limit (2011),7.4,289299,6300,1,6,1812,343,3
Conjuring - Die Heimsuchung (2013),7.6,165388,6720,4,8,1583,657,2
Side Effects - Tödliche Nebenwirkungen (2013),7.1,105194,6360,0,0,1169,238,3
Der große Crash (2011),7.1,68616,6420,8,14,1465,192,2
Jo Nesbø's Headhunters (2011),7.6,57127,6000,5,7,10,97,2
Dame\, Spion (2011),dame k nig as spion,http://www.imdb.com/title/tt1340800/,7620,2011,23,51,104
Contraband (2012),6.5,82124,6540,0,0,1243,146,3
Ein riskanter Plan (2012),6.6,99177,6120,0,0,723,143,3
Red Eye - Nachtflug in den Tod (2005),6.5,81260,5100,2,8,201,662,2
Roger auf Abwegen (1993),7.1,456,480,0,0,6,8,3
Rain Man (1988),8,308453,7980,21,19,730,287,1
Der Duft der Frauen (1992),7.9,151964,9420,6,9,160,287,1
Zeit des Erwachens (1990),7.7,70252,7260,6,7,72,157,2
Kramer gegen Kramer (1979),7.8,74105,6300,38,17,311,157,1
Philadelphia (1993),7.7,143684,7500,11,14,670,236,1
Nebraska (2013),7.9,38035,6900,26,61,1751,169,2
Captain Phillips (2013),8,176065,8040,16,68,2861,411,3
Die Kunst zu gewinnen - Moneyball (2011),7.6,221172,7980,20,42,4184,289,3
The Cinema Snob Halloween (TV Episode 2013),,,1500,0,0,0,0,1
The Verdict - Die Wahrheit und nichts als die Wahrheit (1982),7.8,20430,7740,4,7,143,138,1
Boogie Nights (1997),7.9,148566,9300,28,22,57,530,1
Glengarry Glen Ross (1992),7.9,59740,6000,5,5,376,352,1
Asphalt-Cowboy (1969),8,61871,6780,26,12,392,305,1
The Ides of March - Tage des Verrats (2011),7.2,154409,6060,9,21,2067,268,1
Fejezetek a film történetéböl Amerikai filmtípusok - Egyén és társadalom (TV Episode 1989),,,,0,0,0,0,1
Rocky Balboa (2006),7.2,123125,6120,0,0,735,940,2
Rocky II (1979),7.1,90550,7140,2,1,107,141,2
Bodycheck (1986),6,8209,6600,1,0,32,43,3
Crazy for you - Liebe auf der Ringermatte (1985),6.4,5326,6420,0,0,51,66,3
Annapolis - Kampf um Anerkennung (2006),5.7,15495,6480,0,0,63,139,3
Glück im Spiel (2007),5.9,16096,7440,0,0,115,61,3
Blue Crush (2002),5.6,22233,6240,1,6,199,214,3
Jerry Maguire: Spiel des Lebens (1996),7.3,146889,8340,26,19,911,296,3
Der richtige Dreh (1983),5.9,9967,5460,0,0,71,48,3
The Fighter (2010),7.9,200800,6960,42,55,5677,366,3
Drawn Together The One Wherein There Is a Big Twist: Part 1 (TV Episode 2004),7.1,70,1320,0,0,0,0,2
Wer Gewalt sät (1971),7.6,37945,7080,1,0,517,247,1
